,day,month,year,crash_time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,bad_road_infrastructure,car_failure,distraction,driver_mistake,illegal_action,medical,other_involvement
289,3,5,2017,12,40.651688,-73.88877,0,0,0,0,1,0,0,0,0
290,27,4,2017,11,40.684166,-73.92931,0,0,0,0,1,0,0,0,0
291,24,4,2017,6,40.826397,-73.92116,0,0,0,0,0,1,0,0,0
292,12,9,2017,9,40.70001,-73.830894,0,0,0,0,0,1,0,0,0
293,4,5,2017,0,40.75529,-73.99493,0,0,0,0,0,1,0,0,0
295,4,5,2017,15,40.75228,-73.9897,2,0,0,0,0,0,0,0,1
296,18,4,2017,20,40.767815,-73.98951,0,0,0,0,0,1,0,0,0
297,9,5,2017,12,40.75927,-73.980896,0,0,0,0,0,1,0,0,0
298,9,5,2017,19,40.65591,-73.89191,1,0,0,0,1,0,0,0,0
299,4,5,2017,23,40.75515,-73.88245,1,0,0,0,1,0,0,0,0
301,9,5,2017,10,40.66047,-73.998024,2,0,0,0,0,0,1,0,0
302,23,4,2017,1,40.599823,-74.12908,0,0,0,0,0,0,1,0,0
305,2,5,2017,20,40.577644,-73.96124,0,0,0,0,0,0,1,0,0
307,24,4,2017,15,40.82247,-73.9072,1,0,0,0,0,0,0,0,1
308,27,4,2017,10,40.744656,-73.94853,0,0,0,0,1,0,0,0,0
309,6,5,2017,20,40.802753,-73.93358,1,0,0,0,0,1,0,0,0
311,5,5,2017,8,40.727272,-73.81718,0,0,0,0,0,0,1,0,0
312,27,4,2017,15,40.75866,-73.98875,0,0,0,0,0,1,0,0,0
313,25,4,2017,23,40.61785,-73.988075,0,0,0,0,0,0,1,0,0
314,18,4,2017,16,40.673748,-73.84324,0,0,0,0,0,1,0,0,0
315,20,4,2017,14,40.66517,-73.804054,0,0,0,0,0,1,0,0,0
316,16,4,2017,6,40.833557,-73.85774,0,0,0,0,0,1,0,0,0
319,25,4,2017,14,40.750206,-74.00234,0,0,0,0,0,1,0,0,0
320,8,5,2017,10,40.635254,-74.02832,0,0,0,0,0,1,0,0,0
321,15,4,2017,17,40.73174,-73.99147,0,0,0,0,0,1,0,0,0
322,7,5,2017,1,40.6224,-73.936646,0,0,0,0,0,1,0,0,0
323,14,4,2017,17,40.66614,-73.82326,0,0,0,0,1,0,0,0,0
325,4,5,2017,12,40.767918,-73.985725,0,0,0,0,1,0,0,0,0
326,29,4,2017,12,40.79801,-73.827065,0,0,0,0,1,0,0,0,0
327,18,4,2017,23,40.52796,-74.16258,0,0,0,0,0,0,1,0,0
328,17,4,2017,17,40.633217,-73.954865,1,0,0,0,0,0,0,0,1
329,18,4,2017,13,40.87514,-73.90499,0,0,0,0,1,0,0,0,0
330,3,5,2017,9,40.666054,-73.77985,0,0,0,0,1,0,0,0,0
332,8,5,2017,23,40.760746,-73.988266,0,0,0,0,1,0,0,0,0
333,4,5,2017,19,40.63308,-74.020195,0,0,0,0,0,1,0,0,0
334,27,4,2017,22,40.74769,-74.00417,0,0,0,0,0,1,0,0,0
335,25,4,2017,12,40.75207,-73.926476,0,0,0,0,0,1,0,0,0
336,24,4,2017,9,40.628647,-73.95207,0,0,0,0,0,1,0,0,0
337,24,4,2017,7,40.603855,-73.972244,0,0,0,0,1,0,0,0,0
338,21,4,2017,4,40.715927,-73.80889,1,0,1,0,0,0,0,0,0
339,19,4,2017,15,40.8233,-73.88003,0,0,0,0,0,1,0,0,0
340,20,4,2017,13,40.597122,-74.00418,0,0,0,0,0,0,0,0,1
341,4,5,2017,18,40.63359,-73.973656,1,0,0,0,0,1,0,0,0
342,30,4,2017,15,40.81509,-73.83608,1,0,0,0,0,0,1,0,0
343,15,4,2017,18,40.84962,-73.855286,0,0,0,0,1,0,0,0,0
346,5,5,2017,11,40.787525,-73.79483,1,0,0,0,0,1,0,0,0
347,22,4,2017,20,40.80929,-73.90313,4,0,0,0,0,0,0,1,0
348,1,5,2017,10,40.601006,-74.076454,0,0,0,0,0,1,0,0,0
349,1,5,2017,10,40.814636,-73.795815,0,0,0,0,0,1,0,0,0
352,18,4,2017,9,40.862534,-73.89708,0,0,0,0,0,1,0,0,0
353,9,5,2017,17,40.74128,-73.90257,1,0,0,0,0,1,0,0,0
354,28,4,2017,20,40.75586,-73.83615,0,0,0,0,0,1,0,0,0
355,7,5,2017,20,40.737682,-73.85206,0,0,0,0,1,0,0,0,0
357,30,4,2017,18,40.715023,-73.80765,0,0,0,0,1,0,0,0,0
358,6,5,2017,19,40.813606,-73.94868,1,0,0,0,1,0,0,0,0
359,6,5,2017,20,40.726986,-73.985756,0,0,0,0,0,1,0,0,0
361,4,5,2017,22,40.69869,-73.83806,0,0,0,0,1,0,0,0,0
363,28,4,2017,21,40.781406,-73.778175,1,0,0,0,0,1,0,0,0
364,18,4,2017,19,40.70118,-73.98778,0,0,0,0,0,1,0,0,0
365,21,4,2017,15,40.754684,-73.984245,0,0,0,0,0,1,0,0,0
366,26,4,2017,13,40.683506,-73.97594,0,0,1,0,0,0,0,0,0
369,20,4,2017,10,40.638313,-74.00663,0,0,0,0,1,0,0,0,0
370,8,5,2017,12,40.732555,-73.92509,0,0,0,0,0,1,0,0,0
371,7,5,2017,9,40.879055,-73.87439,0,0,0,0,0,0,0,0,1
372,9,5,2017,16,40.71197,-73.96104,0,0,0,0,0,1,0,0,0
373,21,4,2017,20,40.634365,-73.88883,0,0,0,0,1,0,0,0,0
375,6,5,2017,23,40.629036,-74.16538,0,0,0,0,1,0,0,0,0
376,2,5,2017,16,40.846138,-73.93424,0,0,0,0,0,1,0,0,0
377,1,5,2017,2,40.685963,-73.85654,0,0,0,0,0,1,0,0,0
379,20,4,2017,18,40.736275,-73.772865,0,0,0,0,1,0,0,0,0
382,25,4,2017,21,40.84633,-73.86081,0,0,0,0,0,1,0,0,0
383,24,4,2017,7,40.69993,-73.96188,0,0,0,0,0,0,1,0,0
384,1,5,2017,20,40.741405,-73.98337,0,0,0,0,0,1,0,0,0
385,29,4,2017,11,40.768486,-73.955505,0,0,0,0,0,1,0,0,0
386,9,5,2017,10,40.815327,-73.93576,0,0,0,0,0,1,0,0,0
387,14,4,2017,16,40.743958,-73.86765,0,0,0,0,1,0,0,0,0
388,6,5,2017,23,40.662663,-73.89352,0,0,0,0,0,0,0,0,1
389,19,4,2017,11,40.758217,-73.98907,0,0,0,0,1,0,0,0,0
391,21,4,2017,21,40.749054,-73.98835,0,0,0,0,1,0,0,0,0
393,14,4,2017,12,40.858723,-73.83344,0,0,0,0,0,0,1,0,0
394,1,5,2017,13,40.727295,-73.95581,0,0,0,0,0,1,0,0,0
396,30,4,2017,20,40.845024,-73.92632,0,0,0,0,0,1,0,0,0
398,25,4,2017,12,40.60753,-73.96482,1,0,0,0,1,0,0,0,0
399,10,5,2017,21,40.816044,-73.91195,0,0,0,0,1,0,0,0,0
400,22,4,2017,9,40.71135,-73.96143,0,0,0,0,0,1,0,0,0
401,4,5,2017,21,40.5171,-74.233894,0,0,0,0,0,1,0,0,0
402,25,4,2017,16,40.664745,-73.74003,0,0,0,0,0,0,1,0,0
404,17,4,2017,23,40.813095,-73.94161,1,0,0,0,1,0,0,0,0
405,29,4,2017,15,40.798256,-73.82744,6,0,0,0,0,0,0,0,1
406,29,4,2017,17,40.6807,-73.89662,0,0,0,0,1,0,0,0,0
408,16,4,2017,0,40.611404,-74.00952,0,0,0,0,0,0,1,0,0
410,24,4,2017,12,40.68815,-73.95987,0,0,0,0,0,1,0,0,0
412,25,4,2017,17,40.751797,-73.99463,0,0,0,0,0,1,0,0,0
413,14,4,2017,18,40.68445,-73.97113,0,0,0,0,0,1,0,0,0
415,30,4,2017,5,40.722683,-73.98601,0,0,0,0,1,0,0,0,0
416,1,5,2017,19,40.834114,-73.86327,0,0,0,0,0,1,0,0,0
417,27,4,2017,13,40.778797,-73.98206,0,0,0,0,1,0,0,0,0
418,6,5,2017,17,40.824005,-73.87383,0,0,0,0,1,0,0,0,0
420,3,5,2017,21,40.771084,-73.908226,0,0,0,0,0,1,0,0,0
421,1,5,2017,12,40.62606,-73.997025,0,0,0,0,0,0,0,0,1
423,27,4,2017,17,40.769318,-73.8666,0,0,0,0,1,0,0,0,0
425,22,4,2017,17,40.57554,-73.979645,0,0,0,0,1,0,0,0,0
426,25,4,2017,18,40.686695,-73.81498,0,0,0,0,1,0,0,0,0
427,16,4,2017,10,40.8905,-73.831154,5,0,0,0,0,0,0,0,1
428,14,4,2017,11,40.78214,-73.824844,2,0,0,0,0,1,0,0,0
430,27,4,2017,14,40.77077,-73.91727,0,0,0,0,1,0,0,0,0
431,9,5,2017,8,40.8223,-73.873,1,0,0,0,0,1,0,0,0
432,15,4,2017,13,40.604153,-74.05198,2,0,0,0,0,1,0,0,0
433,27,4,2017,8,40.588215,-73.80515,0,0,0,0,0,1,0,0,0
435,4,5,2017,12,40.806835,-73.924355,0,0,0,0,0,0,0,0,1
436,23,4,2017,14,40.64667,-73.896034,0,0,0,0,1,0,0,0,0
437,22,4,2017,10,40.579803,-73.97184,0,0,0,0,1,0,0,0,0
438,9,5,2017,17,40.76091,-73.96482,1,0,0,0,1,0,0,0,0
439,23,4,2017,14,40.715214,-73.77265,0,0,0,0,0,1,0,0,0
441,30,4,2017,20,40.710888,-74.00907,1,0,0,0,0,1,0,0,0
442,20,4,2017,10,40.707375,-73.80969,0,0,0,0,1,0,0,0,0
444,3,5,2017,2,40.73204,-73.87034,0,0,0,0,1,0,0,0,0
445,21,4,2017,6,40.74106,-73.946106,0,0,0,0,1,0,0,0,0
446,14,4,2017,13,40.763363,-73.95925,0,0,0,0,0,1,0,0,0
447,29,4,2017,15,40.613026,-74.12355,0,0,0,0,1,0,0,0,0
449,9,5,2017,21,40.70421,-73.96121,0,0,0,0,1,0,0,0,0
451,3,5,2017,9,40.606377,-74.06263,0,0,0,0,0,1,0,0,0
455,26,4,2017,14,40.74484,-73.85225,0,0,0,0,0,1,0,0,0
456,27,4,2017,5,40.741776,-73.95295,0,0,0,0,0,1,0,0,0
459,26,4,2017,19,40.729794,-73.982994,0,0,0,0,1,0,0,0,0
461,8,5,2017,21,40.677574,-73.95548,0,0,0,0,1,0,0,0,0
462,22,4,2017,14,40.809563,-73.92923,0,0,0,0,1,0,0,0,0
463,20,4,2017,12,40.70817,-73.81535,0,0,0,0,0,0,0,0,1
464,30,4,2017,19,40.829945,-73.93005,0,0,0,0,0,1,0,0,0
465,26,4,2017,17,40.694077,-73.89729,0,0,0,0,0,1,0,0,0
466,7,5,2017,6,40.817173,-73.861725,0,0,0,0,0,1,0,0,0
467,21,4,2017,7,40.696735,-73.93481,0,0,0,0,0,1,0,0,0
468,2,5,2017,9,40.651863,-73.86536,1,0,0,0,0,0,1,0,0
469,24,4,2017,8,40.619083,-73.950264,0,0,0,0,1,0,0,0,0
470,7,5,2017,5,40.756847,-73.873116,0,0,0,0,1,0,0,0,0
472,2,5,2017,12,40.742374,-73.883095,0,0,0,0,1,0,0,0,0
473,16,4,2017,14,40.773098,-73.96448,0,0,0,0,0,0,1,0,0
474,2,5,2017,14,40.589798,-73.9701,0,0,0,0,1,0,0,0,0
475,19,4,2017,8,40.689034,-73.95862,0,0,0,0,0,1,0,0,0
479,10,5,2017,7,40.757454,-73.95571,0,0,0,0,1,0,0,0,0
480,28,4,2017,22,40.72046,-73.98963,1,0,0,0,1,0,0,0,0
481,14,4,2017,18,40.82699,-73.909294,0,0,0,0,0,0,1,0,0
482,15,4,2017,23,40.694935,-73.92796,0,0,0,0,1,0,0,0,0
484,17,4,2017,21,40.888752,-73.90968,0,0,0,0,1,0,0,0,0
